DEBUT_DESC
corpus_fi.bin
1.000000	0.960000	0.920000	0.880000	0.840000	0.800000	0.760000	0.720000	0.680000	0.640000	0.600000	0.560000	0.520000	0.480000	0.440000	0.400000	0.360000	0.320000	0.280000	0.240000	0.200000	0.160000	0.120000	0.080000	0.040000	-0.000000	-0.040000	-0.080000	-0.120000	-0.160000	-0.200000	-0.240000	-0.280000	-0.320000	-0.360000	-0.400000	-0.440000	-0.480000	-0.520000	-0.560000	-0.600000	-0.640000	-0.680000	-0.720000	-0.760000	-0.800000	-0.840000	-0.880000	-0.920000	-0.960000	-1.000000	
8	13	23	22	16	9	4	6	2	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	3	8	11	22	44	66	110	54	
10	33	26	14	23	9	5	9	1	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	7	5	15	18	35	51	77	79	
28	30	30	18	18	6	3	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	3	11	18	22	41	49	69	
41	34	22	15	15	5	2	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	4	2	13	14	27	41	46	
32	32	27	11	14	8	4	3	5	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	4	11	13	24	57	48	
23	22	16	8	1	4	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	5	6	16	12	27	37	
17	19	11	10	9	5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	2	5	5	17	18	21	
17	17	9	9	7	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	3	3	4	10	23	17	
11	13	6	2	3	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	2	7	3	7	14	16	
20	23	12	7	10	5	5	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	3	7	3	7	16	19	23	42	38	
23	37	26	11	8	6	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	9	13	16	34	39	
5	4	5	3	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	2	5	10	17	7	
2	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	2	
8	7	7	0	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	1	4	6	15	
1	3	5	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	7	8	5	
3	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	7	
1	3	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	2	
19	15	12	6	2	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	3	7	19	18	
16	13	13	9	1	1	1	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	5	11	16	29	28	44	
26	30	28	13	11	4	2	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	5	7	6	9	15	23	32	
27	18	13	9	5	2	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	3	3	6	7	15	20	27	
6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	5	
3	3	4	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	4	5	
22	13	5	5	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	4	2	8	10	8	
16	5	6	4	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	3	4	5	2	7	
